analyst,cbs_id,player_name_abbrev,position,bye_week,overall_rank,auction_value_dollar,source_url,pulled_date
CBS Consensus,2240246,J. Hurts,QB,10,68,6,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2818150,C. Godwin,WR,10,69,5,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3123337,J. Daniels,QB,7,70,7,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3132164,B. Thomas Jr.,WR,7,71,6,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,1824909,M. Evans,WR,8,72,5,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26730706,J. Brooks,RB,5,73,5,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2252798,R. Dowdle,RB,9,74,5,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2184011,T. Pollard,RB,9,75,5,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26699547,T. Henderson,RB,11,76,5,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3126535,J. Warren,RB,9,77,4,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2218461,C. Sutton,WR,10,78,4,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162609,Q. Johnston,WR,7,79,4,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,1824864,D. Prescott,QB,14,80,4,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3126952,J. Croskey-Merritt,RB,7,81,4,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162290,J. Addison,WR,6,82,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2961906,I. Likely,TE,8,83,4,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2260185,D. Metcalf,WR,9,84,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2804420,J. Dobbins,RB,10,85,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2965181,M. Wilson,WR,14,86,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2965664,A. Pierce,WR,13,87,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2818265,G. Kittle,TE,8,88,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,29124411,C. Tate,WR,9,89,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2967536,J. Mason,RB,6,90,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28900882,H. Fannin Jr.,TE,11,91,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162970,J. Downs,WR,13,92,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2221960,J. Herbert,QB,7,93,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2000038,S. Diggs,WR,7,94,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2967185,T. Lawrence,QB,7,95,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3169252,B. Corum,RB,11,96,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2968948,K. Gainwell,RB,10,97,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26695775,C. Williams,QB,10,98,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2967762,J. Reed,WR,11,99,3,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2961306,B. Purdy,QB,8,100,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,29123718,K. Concepcion,WR,11,101,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3121207,R. Harvey,RB,10,102,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2865693,C. Hubbard,RB,5,103,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3169147,R. White,RB,7,104,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3177368,K. Monangai,RB,10,105,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26693539,M. Washington Jr.,RB,13,106,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3163990,J. Coker,WR,5,107,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,1725130,T. Kelce,TE,5,108,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2240188,M. Pittman,WR,9,109,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2132551,D. Goedert,TE,10,110,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2061053,J. Goff,QB,6,111,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2071937,A. Jones,RB,6,112,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3171045,W. Marks,RB,8,113,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26696676,D. Stribling,WR,8,114,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28874927,M. Golden,WR,11,115,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2964667,C. Rodriguez Jr.,RB,7,116,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2257876,J. Jacobs,RB,11,117,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2139735,D. Samuel,WR,8,118,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2183835,J. Meyers,WR,7,119,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,29123772,M. Lemon,WR,10,120,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26694019,J. Dart,QB,8,121,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3124107,W. Robinson,WR,9,122,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2982991,D. Kincaid,TE,7,123,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,1114942,M. Stafford,QB,11,124,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3123810,Z. Charbonnet,RB,11,125,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3122588,T. Spears,RB,9,126,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2961886,R. Doubs,WR,11,127,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28900885,J. Tyson,WR,8,128,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2975590,T. Allgeier,RB,14,129,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28877250,J. Coleman,RB,10,130,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2131121,M. Andrews,TE,13,131,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3121848,T. Tucker,WR,13,132,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2142052,P. Mahomes,QB,5,133,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3121193,B. Nix,QB,10,134,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2180829,K. Murray,QB,6,135,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26730787,X. Worthy,WR,5,136,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162021,T. Bigsby,RB,10,137,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28877097,E. Johnson,RB,5,138,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2969119,K. Shakir,WR,7,139,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2239997,J. Love,QB,11,140,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28912068,D. Sampson,RB,11,141,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28875368,D. Boston,WR,11,142,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2804167,M. Willis,QB,6,143,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,1737096,K. Allen,WR,13,144,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2741207,B. Robinson Jr.,RB,11,145,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162599,K. Black,RB,8,146,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3164710,K. Mitchell,RB,7,147,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2186637,J. Johnson,TE,8,148,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2136748,D. Schultz,TE,8,149,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28900321,C. Douglas,WR,6,150,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26726580,B. Allen,RB,13,151,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2964064,T. Shough,QB,8,152,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3163170,K. Boutte,WR,8,153,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3124729,M. Washington,WR,6,154,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28877196,C. Bell,WR,6,155,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2964274,G. Dulcich,TE,6,156,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26701928,A. Mitchell,WR,13,157,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26701481,T. Ferguson,TE,11,158,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
